Product_ID,Product_name,Description,brand_name,price
96128480,Giày Thể Thao Nam Biti's Hunter Street Festive Low-,"Hướng dẫn sử dụng Hạn chế tiếp xúc với nước và môi trưởng có dầu mỡTránh va chạm với vật thể sắc, nhọn cứngSử dụng bàn chải mềm, xà phòng loãng để giặt rửaKhông phơi sản phẩm dưới ánh nắng trực ...",Biti's,679000
277294637,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2034","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,570000
179216565,"Giày Thể Thao Nam - Dây dày vặn tiện lợi, nhanh chóng tháo ra và đi vào một cách dễ dàng, dễ sử dụng","1. Thông tin sản phẩm:️Thương hiệu: PGM️Giày Golf nam: XZ095️Màu sắc: Trắng xanh, Đen trắng️Giới tính: Nam️Trọng lượng khoảng: 500g️Size: 39,40,41,42,432. Chất liệu sản phẩm:- Chất liệu da sợi...",PGM,2480000
84284692,Giày Cầu Lông Bóng Bàn Giaỳ Thể Thao,"Giày thể thao nam nữ form đẹpHiện là một trong những loại giày hot nhất hiện nay trong giới trẻ, bởi thiết kế tinh tế, trẻ trung và hiện đại.- Kiểu dáng thể thao, mạnh mẽ,phù hợp với các bạn trong độ...",Chí Phèo,270000
276182413,"Giày thể thao nam, giày chạy bộ đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE – GNA1022A","Giày thể thao nam - nữ  thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế vải cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây k...",Bee Gee,480000
274992671,"Giày thể thao nam, giày chạy bộ đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE – GNA2023","Giày thể thao nam - nữ  thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế vải cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây k...",Bee Gee,520000
263491077,Giày thể thao nam Columbia Peakfreak™ Ii Outdry™ - 2005101247,"Giày thể thao nam Columbia Peakfreak Ii Outdry - 2005101247Đặc điểm nổi bật: GIÀY ĐI BỘ ĐƯỜNG DÀI NAM COLUMBIA PEAKFREAK II OUTDRYĐôi giày đi bộ này có khả năng chống thấm nước tốt, thoáng khí và đư...",Columbia,2047000
217564040,"Giày thể thao nam Asia, đế kếp, bền, rẻ, dùng cho lao động và thể thao size 36-44",.------------------------------------------------------------------------------------------------------------------Giày thể thao Asia vốn rất quen thuộc với những người dân quê tôi.Những người lao đ...,ASIA,159000
277294436,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2035","Giày lười thể thao nam thời trang, ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế vải cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu trong lúc ...",Bee Gee,440000
276187640,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – BEE GEE - GNA2020","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khí        Size: 39,40,41,42,43,44Mũi giày ôm theo d...",Bee Gee,250000
177260716,Giày bóng đá thể thao 3 sọc đen,"  - Chất liệu da công nhiệp   - Đường kim mũi chỉ sắc nét   - Tiếp xúc bóng tốt, đã được khâu đế   - Form ôm chân, độ bền cao, đế mềm - dẻo - đinh dăm bám sân giúp bé thoải mái vận động.   - Bảo ...",Wika,140000
197282013,Giày bóng đá thể thao chính hãng Flash xanh,"  - Đinh dăm bám sân tránh trơn trượt ngay cả khi trời mưa   - Lót giầy êm ái giúp cố định chân tốt   - Chất liệu da công nhiệp   - Đường kim mũi chỉ sắc nét   - Tiếp xúc bóng tốt, đã được khâu đ...",Wika,375000
273271788,"Giày thể thao nam nữ đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - G3005","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,180000
276472930,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – BEE GEE - GNA1011A","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế vải cao cấp mềm, thoáng khí        Size: 39,40,41,42,43Mũi giày ôm theo dán...",Bee Gee,340000
192741821,Giày bóng đá thể thao chính hãng Flash xanh,"  - Đinh dăm bám sân tránh trơn trượt ngay cả khi trời mưa   - Lót giầy êm ái giúp cố định chân tốt   - Chất liệu da công nhiệp   - Đường kim mũi chỉ sắc nét   - Tiếp xúc bóng tốt, đã được khâu đ...",Wika,375000
183784752,Đôi giày thể dục thể thao phù hợp nhiều lứa tuổi mẫu giày đá banh Wika chất lượng cao ,  ️Giày đã khâu toàn bộ đế cực kỳ chắc chắn   ️ Đinh dăm bám sân tránh trơn trượt ngay cả khi trời mưa   ️ Lót giầy êm ái giúp cố định chân tốt   ️ Chất liệu da công nhiệp   ️Đường kim mũi chỉ sắ...,Wika,145000
276183351,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – BEE GEE - GNA2027","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khí        Size: 36,37,38,40,41,42,43,44Mũi giày ôm ...",Bee Gee,620000
271985641,"Giày thể thao nam, giày thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn - G3003","Giày thể thao nam thời trang, giày ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu trong lúc d...",Bee Gee,440000
275790736,Giày thể thao nam Aldo COOLSPEC,Thương hiệu thời trang ALDO là hãng thời trang Canada chuyên mang đến những thiết kế sang trọng và tinh tế về phụ kiện giầy dép và túi xách. ALDO được phân phối độc quyền tại Việt Nam bởi Công ty cổ p...,Aldo,1375000
273905286,Giày thể thao nam Aldo ANSEL,Thương hiệu thời trang ALDO là hãng thời trang Canada chuyên mang đến những thiết kế sang trọng và tinh tế về phụ kiện giầy dép và túi xách. ALDO được phân phối độc quyền tại Việt Nam bởi Công ty cổ p...,Aldo,1020000
208768265,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – BEE GEE - GNA1011","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế vải cao cấp mềm, thoáng khí        Size: 39,40,41,42,43Mũi giày ôm theo dán...",Bee Gee,720000
263985522,Giày thể thao nam Columbia Peakfreak Ii Outdry - 2005101053,"Giày thể thao nam Columbia Peakfreak Ii Outdry - 2005101053Đặc điểm nổi bật: Nơi sản xuất: Hàng sản xuất ở nước thứ 3 tùy từng lô hàng (Việt Nam, Trung Quốc, Ấn Độ, C)Hướng dẫn bảo quản:• Hạn chế k...",Columbia,2040000
275579517,"Giày thể thao nam Asia, đế kếp, bền, rẻ, dùng cho lao động và thể thao (màu trắng)"," Giày thể thao Asia vốn rất quen thuộc với những người dân quê tôi.Những người lao động sử dụng đi làm.Các ông, các bà, các cô các chú sử dụng đi chơi bóng chuyền hơi, đi bộ.Những thanh niên chơi ...",ASIA,159000
209129338,"Giày Thể Thao Nam Limenco L6007 Màu Vàng, Đế Phylon Êm Nhẹ, Đi Chơi, Thể Thao","LIMENCO - Với những thiết kế kiểu dáng thời trang truyền thống cùng gam màu hiện đại, dễ dàng phối với nhiều trang phục để có phong cách thời trang trẻ trung, năng động và ấn tượng trong mọi hoạt động...",LimenCo,699000
277280170,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2037","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,600000
192768899,Giày bóng đá thể thao 3 sọc trắng,"  - Đinh dăm bám sân tránh trơn trượt ngay cả khi trời mưa   - Lót giầy êm ái giúp cố định chân tốt   - Chất liệu da công nhiệp   - Đường kim mũi chỉ sắc nét   - Tiếp xúc bóng tốt, đã được khâu đ...",Wika,165000
276181232,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2028","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,380000
177262670,Giày bóng đá thể thao 3 sọc trắng,"  - Đinh dăm bám sân tránh trơn trượt ngay cả khi trời mưa   - Lót giầy êm ái giúp cố định chân tốt   - Chất liệu da công nhiệp   - Đường kim mũi chỉ sắc nét   - Tiếp xúc bóng tốt, đã được khâu đ...",Wika,145000
197296058,Giày bóng đá thể thao 3 sọc trắng,"  - Đinh dăm bám sân tránh trơn trượt ngay cả khi trời mưa   - Lót giầy êm ái giúp cố định chân tốt   - Chất liệu da công nhiệp   - Đường kim mũi chỉ sắc nét   - Tiếp xúc bóng tốt, đã được khâu đ...",Wika,165000
277031696,Giày thời trang thể thao Nike Air Zoom-Type ‘Black Menta’ CJ2033-010 - Hàng chính hãng,Giày thời trang thể thao Nike Air Zoom-Type ‘Black Menta’ CJ2033-010 - Hàng chính hãngThương hiệu: MỹSản xuất tại: Nhiều quốc giaChất liệu: 6%Synthetic & 94%TextileGiày thời trang thể thao Nike ...,Nike,2789000
277294602,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2033","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,600000
2023495,Giày Nam Thể Thao Cột Dây Huy Hoàng HT7744  - Đen,Giày Nam Thể Thao Cột Dây Huy Hoàng HT7744  - Đen được làm từ chất liệu da mang lại độ bền cao cho sản phẩm.Sản phẩm được sản xuất với những nguyên vật liệu tốt nhất nên giày mang lâu sẽ không bị hô...,Huy Hoàng,538300
272554406,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - G3004","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,150000
204308867,Giày Thể Thao Biti's Nam DSM075033XAM (Xám),"* Giày thường có thiết kế dạng lưỡi gà rời, hậu 1 đỉnh hoặc 2 đỉnh, và có cột dây.* Chất liệu quai: Si, thun* Chất liệu đế:+ Đế ngoài: Cao su, TPR, PU, IP+ Đế giữa: EVA phun+ Đế trong: sử dụng EV...",Biti's,765000
58178537,"GIÀY THỂ THAO NEW TENNIS, CHẠY BỘ","Giày Chí Phèo là sự lựa chọn tốt cho người chơi tennis thực thụ.Dòng giày Chí Phèo này được đánh giá cao về mẫu mã, chất lượng sử dụng, đặc biệt là độ êm và độ vừa vặn.Ở phiên bản này, Chí Phèo trang ...",Chí Phèo,750000
276345718,"Giày thể thao nam, giày chạy bộ đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – GNA2025B","Giày thể thao nam giày chạy bộ đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn Giày thể thao thời trang, giày chạy bộ ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ ...",Bee Gee,390000
